YearsExperience,Salary
1.2000000000000002,39344.0
1.4,46206.0
1.6,37732.0
2.1,43526.0
2.3000000000000003,39892.0
3.0,56643.0
3.1,60151.0
3.3000000000000003,54446.0
3.3000000000000003,64446.0
3.8,57190.0
4.0,63219.0
4.1,55795.0
4.1,56958.0
4.199999999999999,57082.0
4.6,61112.0
5.0,67939.0
5.199999999999999,66030.0
5.4,83089.0
6.0,81364.0
6.1,93941.0
6.9,91739.0
7.199999999999999,98274.0
8.0,101303.0
8.299999999999999,113813.0
8.799999999999999,109432.0
9.1,105583.0
9.6,116970.0
9.7,112636.0
10.4,122392.0
10.6,121873.0
1.34901424590337,38140.586775541204
1.3585207096486445,49910.556369017875
1.7943065614302078,37705.00555052413
2.5569089569224075,41410.5781420882
2.2297539875829995,41537.08982420638
2.9297589129152457,54201.312700057955
3.5737638446522175,60568.72719000951
3.530230418745873,50526.65975224045
3.159157684219515,61789.62790220314
3.9627680130757894,57583.72247173825
3.8609746921562613,64695.93315999082
3.9602810739289227,56137.73656237994
4.17258868146981,56726.70343522352
3.62601592660266,56479.79260882142
4.08252465024609,58154.95601926515
4.831313741227708,66499.31158321058
4.896150663899673,65108.722458080425
5.494274199778583,85203.24445243784
5.727592777343637,82051.23657913692
5.6763088895994125,90414.91968927454
7.339694630676466,92387.16793878959
7.1322671098540384,97503.83543916736
8.020258461406376,99949.15599938808
7.8725755441359615,115036.35257768174
8.636685182642443,111493.9990449919
9.13327677691296,107445.5602382324
9.25470192677331,115291.56495355473
9.812709405503702,112017.57524829757
10.219808393024358,123054.52686280712
10.512491875062016,123824.09025424471
1.0562477286464131,39538.15509869608
1.3443023070008548,48143.28998106578
1.2680995077981916,36327.8938122453
1.741138012775799,42870.67570680446
2.5437577467182595,39107.783693735684
3.4068720085712467,53715.97010373576
3.0783969635259,60743.24055412915
3.6010598693676075,54968.11054435978
3.4084908075142906,64456.226913284925
3.6064640736184623,56720.82573324971
4.108418681652524,60388.25851589917
4.56141096993979,54953.70935446928
4.0892521882670145,56272.57096694646
4.669393096744201,55477.44546155676
3.8140764687730764,60789.42857666798
5.246570751312567,68747.10171362908
5.2261141204714505,69802.37180242105
5.31029779486024,83438.15562566368
6.027528232960651,81879.10078144552
5.503729325619732,93792.10816846766
6.834098433648747,87901.45756940191
7.307133771453524,98220.97224910157
8.443368213422454,101423.46041988206
8.144518934517905,118739.48422497057
8.557451919132042,109047.27807043775
8.949472886924639,106186.09468466723
9.874620635310622,116900.57646058951
9.798625332897904,110298.64392476094
10.241071938869888,124677.64562903004
10.753980229934006,123376.86606537354
1.4373095841129142,39844.98570069175
1.1271837635615782,46898.89641899395
2.0208382932808298,36371.95055684302
1.6794446811623158,43990.507394322005
2.476057128140081,40478.144946597364
3.6571366877429936,55214.29716394727
2.8028391024607937,63882.54902228952
3.130110681119169,55393.665841823575
3.3298954095262925,62063.393005594706
3.64895730376514,58503.10721726766
3.53480097068016,61269.63665954536
4.120568892441808,57369.169207484905
3.781308885882168,59275.19115801481
4.342077729190554,55440.63536329658
4.324172729729859,63038.75225848865
5.464980321505262,68764.56185387299
4.9650240122991285,67674.12031998899
5.303381545138298,86882.5859653079
6.244055165210901,80873.22376799426
5.730740705069813,92433.52767128502
6.9682379803812395,89959.97114074895
7.592142826284728,96642.37943006912
7.517755029631632,101148.79658117179
8.35539015755969,114495.3039496333
8.877964838274526,109985.38159866004
9.334546861533193,107237.36649807205
9.228914786736574,116996.00378375582
9.303863016074716,115543.06815431463
10.55658246968507,121862.68633352409
10.689095401969956,127313.33833317924
1.387700204329502,40485.781021386334
1.1428527330751153,48477.131280361195
1.2787322505816663,39640.0035269864
2.2447417245729557,44828.7825026116
2.232961164402245,39261.46151071931
3.2142001482276275,58160.93844098654
3.2419712873720634,58605.34957092485
3.2781513262029383,53972.36278651998
3.0459618845794787,63475.27290434179
3.34554583259424,57353.74827877265
3.8660455143798935,67848.31713334702
4.356919638297041,52060.4696148165
4.164228123239061,58330.520380749025
3.826278366386403,53856.5682576207
4.651954277755355,60168.136268421134
5.115595213918651,70116.90119393473
4.934842769139659,66158.56003819093
5.446117531783659,80933.51044414139
6.0174626155338,79933.39258148006
5.757108910650813,95300.19549786935
7.007336208104485,90278.26673656573
7.36823535791047,98706.91717916395
8.324915372952583,101394.14367980763
8.616140615610469,112509.79930478836
8.386699189612871,113719.88817865065
8.818652488025462,106850.83804463602
9.754510580162597,112919.71482668478
9.854135785273662,113008.90862953886
10.554514305891814,121068.42707046322
11.755819447196416,123577.86666959245
0.96224377847019,42226.54657813223
1.3655790675599302,43334.27569764112
1.7514961836941372,40058.32750430992
2.3597265582510367,43546.46612203917
1.9399110778832673,37928.982697904095
2.8996496292477154,57567.20694852654
2.9575164066517132,60549.11939114694
3.1040012302278868,53245.566245682414
3.829636272084329,64585.60416998004
3.9214945132882866,56419.37280627648
3.6217348136994865,63446.03469050249
4.375358584116433,57119.26134904209
4.736646859103789,60130.0336322907
4.509739578165343,54606.3690023463
4.144189010213796,65378.06674931254
4.854729778140125,64034.824400954996
5.580073344755986,65726.42980992883
5.1876991603143665,84265.63441296916
6.133145828443869,81925.98373547007
6.3323902160288,92695.60096035882
6.621920858526575,91322.75549928546
7.18214239318146,97287.99813068233
7.027619797979279,100124.27048611158
7.992683707599712,115512.20419404205
8.72422955458205,110146.0309719301
8.725665045410544,104197.1808094787
10.08972339117949,118769.19975086651
9.270957586611809,113250.59904175322
10.267986653990905,124017.72423767792
10.639222173185827,123132.25768384723
0.9513014967233785,39319.50645430617
1.231945687940909,44411.491257028334
1.8241880815369786,37883.60911638745
2.2831110796300393,42171.67657697578
2.293729521810756,41842.239466835505
3.0351982149926346,56348.885236995724
3.4832994687365275,58500.005606414976
3.122528583349251,53803.22831669401
3.464129214351012,65271.86290855125
3.7393422042698314,56062.55089439205
3.9346956390318337,61574.55920886714
4.429633055596157,56282.37442298383
4.347624904696408,57447.933142217444
4.444052890800191,56068.11364925774
4.991643642146299,60169.92338876335
5.0063011524898275,68403.09987471528
5.404585891388488,63133.83131700535
5.306919973021963,80274.07245124689
6.097249905746533,79927.11155749513
6.060957083689694,93514.1056965763
6.929098789497816,92360.81513119601
7.378547107631073,101224.7124338991
7.754533795029959,103018.31924640403
8.927716182705637,113493.12294007314
8.498194785550089,109393.96758419462
8.73574341616368,103577.94127072438
